,,The CRIators,,,,,,,,,,,,,
,,Discover Collectively Open Science Projects,,,,,,,,,,,,,
,,"A major appeal of Open Science is the capacity to harness collective intelligence and face big scientific challenges, unmet when researchers are working in isolation. Below is a list of such projects. Work your way through the list (up to you if you wish to divide and conquer, work in couples or as a group) to discover the projects. Apply your score (1-5 low-to-high score), using 10 of the Vienna Open Science Principles (Do read here: https://viennaprinciples.org/) to rank the projects’ ‘openness’. Add a few comments on what you appreciated and what you think could be improved in these projects.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Project,Premise of the project in one simple phrase!,Accessibility,Discoverability,Publication,Reusability,Reproducibility,Transparency,Understandability,Collaboration,Evaluation,Public Good,Total score,positive remarks,Improvement remarks
,Human Brain Project,,4/5,5/5(website organised and open to everyone),3/5 (1491 publications but no access to all of them),2/5 (no access to all the data in the articles),2.5/5 (we don't know if we'll get the same results if we do the project again ),"5/5 (easy to find info on who's ordered it, which are the grants, who's behind it,etc)",3/5 (For a person that has no bioligy background it might be hard to understand all the elements and the results of the project),"4/5 (in the section collaborate, you can become a partner of the project, access the facility hub... )",4/5(different communities and diferent contributions),"4/5 (this project canlead to progress in the understanding of the brain, brain medicine, and brain-inspired technologies)",3.5/5,"the website is accessible and organised, parterships are open to everyone willing to contibute, the community is diverse (students, teachers, researchers..), diversity (accross europe), these studies can lead to a massive posistive impact in medicine ","we don't have access to the data used in the publications, we can access some tools but still not transparent enough, "
,Event Horizon Telescope,,,,,,,,,,,,,,
,Science Feedback,Worldwide network of scientists sorting fact from fiction in science based media coverage in order to help readers know which news to trust.,5/5,5/5,4/5 (not so much but total access),5/5 (we have enough info to use their data for other studies),5/5,5/5,5/5,4/5,2/5 ( some people claims that they are politically oriented),3/5,"4,3",Wonderful concept,Should cover more topics
,Open Worm,Open source project dedicated to provide open access to world's first virtual organism,"3/5 (while mostly accesible, there was some documents that required me to ask for permission to access)",4/5 (promotes collaboration among scientists),3/5 (Not many publications),4/5 (provides materials for others to understand it),3/5,"5/5 (Provides list of supporters, funders, etc)","3/5 (While they try to explain through a variety of resources, people who are not familiar with coding might have difficulties understanding)","5/5 (There is a section that provides information on how to get involved, volunteer, support or donate) ",3/5,4/5 (it's a well-intentioned project that aims provide open access to a virtual model),3(5,Very innovative project. It's a very innovative idea to create the world's first virtual organism to understand other complex systems such as the human brain,Some concepts and terms are hard to understand for people who are not well-versed in coding. There are not many publications.
,Safecast,NGO collecting data on environmental radiation and Air Quality,4/5,5/5,"1/5 (the last publication was in 2017, it's not their primary goal, but still)",5/5 (all data is public and accessable),"5/5 (all information about tools they use to collect data are listed, there's a map where you can track it live)","3/5 (it's easy to understand who is behind the work, but there's no real feedback info)",5/5,"5/5 (it's an NGO, which means they invite volunteers to work with them, they are listed on the website, it's a diverse group)","1/5 (no evaluations are presented, this is not the goal of the NGO)",5/5,3.9,"The website is organized and detailes, it's easy to understand who are the people behind the work, it's easy to understand the stakeholders? the information in extremely useful for public and researchers. ",
,SenseBox,"Creating tools for digital education, citizen science and environmental monitoring ",1/5 (Part of the site in english others in german,1.5/5 (german,1/5 (very few publications all of them in german),4/5 (most of the tools code are in a github,same as reusability,3/5 (articles seems peer reviewed but most financing is private),0/5,3.5/5,2/5,4/5,2.4,"All code is avaible through github, the idea is to construct a hub of climate change datas avaible to everyone ","Actual senseboxes are quite expensive, website is mostly in german, as most publications are fully in german I guess that the articles weren't published  in internationnal journals"
,Kiron ,"Kiron has been offering online
learning opurtunity to
migrants and underserved
communities.",5,4,"1 (no publications at all)
",4 ( too much data avalable on site.,3,5 (they have put almost all information about their credibility on website),5,5,4,5 (its an online education facility),4.1,They have put all necessary information on the website. you can go through the website and decide wether go with it or not. ,they can further improve and organize the website. It looks its designed for wide screen computers only.
